"member","party"
408,"Republican"
37,"Democratic"
336,"Republican"
97,"Democratic"
16,"Democratic"
95,"Democratic"
254,"Republican"
8,"Democratic"
180,"Democratic"
347,"Republican"
206,"Democratic"
90,"Democratic"
77,"Democratic"
137,"Democratic"
105,"Democratic"
20,"Democratic"
320,"Republican"
41,"Democratic"
73,"Democratic"
387,"Republican"
49,"Democratic"
207,"Democratic"
149,"Democratic"
217,"Republican"
246,"Republican"
145,"Democratic"
223,"Republican"
210,"Democratic"
383,"Republican"
357,"Republican"
358,"Republican"
372,"Republican"
267,"Republican"
28,"Democratic"
142,"Democratic"
115,"Democratic"
368,"Republican"
316,"Republican"
178,"Democratic"
138,"Democratic"
201,"Democratic"
338,"Republican"
170,"Democratic"
179,"Democratic"
248,"Republican"
113,"Democratic"
128,"Democratic"
230,"Republican"
35,"Democratic"
148,"Democratic"
218,"Republican"
289,"Republican"
167,"Democratic"
414,"Republican"
24,"Democratic"
164,"Democratic"
34,"Democratic"
165,"Democratic"
321,"Republican"
18,"Democratic"
168,"Democratic"
344,"Republican"
233,"Republican"
93,"Democratic"
309,"Republican"
401,"Republican"
306,"Republican"
280,"Republican"
301,"Republican"
112,"Democratic"
273,"Republican"
355,"Republican"
26,"Democratic"
284,"Republican"
32,"Democratic"
318,"Republican"
334,"Republican"
46,"Democratic"
231,"Republican"
278,"Republican"
182,"Democratic"
250,"Republican"
434,"Vacant"
265,"Republican"
132,"Democratic"
143,"Democratic"
65,"Democratic"
361,"Republican"
98,"Democratic"
219,"Republican"
133,"Democratic"
302,"Republican"
45,"Democratic"
134,"Democratic"
244,"Republican"
118,"Democratic"
71,"Democratic"
23,"Democratic"
67,"Democratic"
190,"Democratic"
127,"Democratic"
10,"Democratic"
275,"Republican"
92,"Democratic"
74,"Democratic"
185,"Democratic"
211,"Democratic"
279,"Republican"
130,"Democratic"
413,"Republican"
57,"Democratic"
303,"Republican"
281,"Republican"
251,"Republican"
111,"Democratic"
58,"Democratic"
419,"Republican"
412,"Republican"
129,"Democratic"
5,"Democratic"
228,"Republican"
44,"Democratic"
424,"Republican"
75,"Democratic"
381,"Republican"
236,"Republican"
94,"Democratic"
371,"Republican"
382,"Republican"
350,"Republican"
68,"Democratic"
36,"Democratic"
411,"Republican"
61,"Democratic"
17,"Democratic"
405,"Republican"
260,"Republican"
259,"Republican"
12,"Democratic"
169,"Democratic"
421,"Republican"
362,"Republican"
151,"Democratic"
80,"Democratic"
337,"Republican"
352,"Republican"
238,"Republican"
237,"Republican"
131,"Democratic"
189,"Democratic"
257,"Republican"
300,"Republican"
213,"Republican"
364,"Republican"
305,"Republican"
4,"Democratic"
122,"Democratic"
335,"Republican"
287,"Republican"
331,"Republican"
406,"Republican"
76,"Democratic"
341,"Republican"
215,"Republican"
418,"Republican"
323,"Republican"
59,"Democratic"
102,"Democratic"
392,"Republican"
3,"Democratic"
252,"Republican"
376,"Republican"
310,"Republican"
258,"Republican"
348,"Republican"
234,"Republican"
162,"Democratic"
87,"Democratic"
33,"Democratic"
365,"Republican"
7,"Democratic"
126,"Democratic"
106,"Democratic"
415,"Republican"
430,"Republican"
369,"Republican"
103,"Democratic"
191,"Democratic"
343,"Republican"
119,"Democratic"
290,"Republican"
242,"Republican"
235,"Republican"
194,"Democratic"
199,"Democratic"
324,"Republican"
409,"Republican"
377,"Republican"
299,"Republican"
157,"Democratic"
288,"Republican"
378,"Republican"
313,"Republican"
394,"Republican"
172,"Democratic"
315,"Republican"
214,"Republican"
19,"Democratic"
14,"Democratic"
66,"Democratic"
212,"Democratic"
332,"Republican"
101,"Democratic"
374,"Republican"
158,"Democratic"
391,"Republican"
294,"Republican"
205,"Democratic"
200,"Democratic"
346,"Republican"
292,"Republican"
6,"Democratic"
116,"Democratic"
308,"Republican"
161,"Democratic"
268,"Republican"
420,"Republican"
241,"Republican"
298,"Republican"
136,"Democratic"
295,"Republican"
22,"Democratic"
239,"Republican"
283,"Republican"
428,"Republican"
53,"Democratic"
99,"Democratic"
417,"Republican"
155,"Democratic"
124,"Democratic"
326,"Republican"
117,"Democratic"
186,"Democratic"
314,"Republican"
351,"Republican"
39,"Democratic"
79,"Democratic"
70,"Democratic"
82,"Democratic"
69,"Democratic"
86,"Democratic"
109,"Democratic"
360,"Republican"
123,"Democratic"
183,"Democratic"
224,"Republican"
52,"Democratic"
43,"Democratic"
72,"Democratic"
359,"Republican"
63,"Democratic"
370,"Republican"
222,"Republican"
422,"Republican"
171,"Democratic"
435,"Vacant"
154,"Democratic"
31,"Democratic"
379,"Republican"
135,"Democratic"
197,"Democratic"
216,"Republican"
163,"Democratic"
144,"Democratic"
404,"Republican"
232,"Republican"
375,"Republican"
187,"Democratic"
389,"Republican"
330,"Republican"
282,"Republican"
2,"Democratic"
423,"Republican"
398,"Republican"
329,"Republican"
15,"Democratic"
269,"Republican"
51,"Democratic"
202,"Democratic"
402,"Republican"
203,"Democratic"
56,"Democratic"
256,"Republican"
243,"Republican"
274,"Republican"
317,"Republican"
427,"Republican"
354,"Republican"
173,"Democratic"
159,"Democratic"
272,"Republican"
204,"Democratic"
396,"Republican"
245,"Republican"
262,"Republican"
21,"Democratic"
91,"Democratic"
339,"Republican"
253,"Republican"
156,"Democratic"
166,"Democratic"
227,"Republican"
85,"Democratic"
141,"Democratic"
340,"Republican"
426,"Republican"
345,"Republican"
78,"Democratic"
286,"Republican"
175,"Democratic"
366,"Republican"
198,"Democratic"
1,"Democratic"
195,"Democratic"
325,"Republican"
174,"Democratic"
291,"Republican"
285,"Republican"
264,"Republican"
188,"Democratic"
110,"Democratic"
147,"Democratic"
431,"Republican"
140,"Democratic"
84,"Democratic"
55,"Democratic"
47,"Democratic"
384,"Republican"
425,"Republican"
433,"Republican"
249,"Republican"
263,"Republican"
29,"Democratic"
297,"Republican"
181,"Democratic"
125,"Democratic"
177,"Democratic"
271,"Republican"
83,"Democratic"
367,"Republican"
432,"Republican"
349,"Republican"
380,"Republican"
395,"Republican"
388,"Republican"
327,"Republican"
139,"Democratic"
89,"Democratic"
160,"Democratic"
30,"Democratic"
307,"Republican"
322,"Republican"
399,"Republican"
13,"Democratic"
220,"Republican"
100,"Democratic"
62,"Democratic"
81,"Democratic"
120,"Democratic"
328,"Republican"
42,"Democratic"
270,"Republican"
276,"Republican"
342,"Republican"
296,"Republican"
150,"Democratic"
319,"Republican"
247,"Republican"
240,"Republican"
176,"Democratic"
429,"Republican"
221,"Republican"
38,"Democratic"
385,"Republican"
40,"Democratic"
353,"Republican"
184,"Democratic"
54,"Democratic"
9,"Democratic"
403,"Republican"
277,"Republican"
146,"Democratic"
107,"Democratic"
393,"Republican"
60,"Democratic"
266,"Republican"
226,"Republican"
104,"Democratic"
153,"Democratic"
416,"Republican"
386,"Republican"
356,"Republican"
363,"Republican"
400,"Republican"
114,"Democratic"
64,"Democratic"
209,"Democratic"
397,"Republican"
229,"Republican"
152,"Democratic"
390,"Republican"
25,"Democratic"
192,"Democratic"
121,"Democratic"
261,"Republican"
88,"Democratic"
11,"Democratic"
255,"Republican"
312,"Republican"
293,"Republican"
27,"Democratic"
48,"Democratic"
410,"Republican"
96,"Democratic"
50,"Democratic"
304,"Republican"
407,"Republican"
225,"Republican"
208,"Democratic"
333,"Republican"
311,"Republican"
108,"Democratic"
193,"Democratic"
196,"Democratic"
373,"Republican"
